OTUID	Sa.F.D.28	Sa.F.D.30	Sa.F.D.33	Sa.F.D.35	Sa.M.D.27	Sa.M.D.29	Sa.M.D.31	Sa.M.D.32	Sa.M.D.36	Sb.F.D.37	Sb.F.D.39	Sb.F.D.44	Sb.F.D.45	Sb.M.D.38	Sb.M.D.41	Sb.M.D.42	Sb.M.D.43	Sb.M.D.46	Sa.F.R.72	Sa.F.R.73	Sa.F.R.76	Sa.F.R.80	Sa.F.R.82	Sa.F.R.83	Sa.F.R.84	Sa.M.R.74	Sa.M.R.75	Sa.M.R.77	Sa.M.R.79	Sa.M.R.81	Sb.F.R.88	Sb.F.R.89	Sb.F.R.90	Sb.F.R.92	Sb.F.R.96	Sb.F.R.97	Sb.F.R.99	Sb.M.R.85	Sb.M.R.86	Sb.M.R.87	Sb.M.R.91	Sb.M.R.93	Sb.M.R.94	Sb.M.R.95	Sb.M.R.98
cbe3d19a7c83208ee75de8048464c4cc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	19	0	0	0	0	31	27	0	0	49	0	0	0	0	0	0	0	0	46	0	0
fb6e8b121041ec1be9b14e22d0fbfde0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
914f78bcc34976473a4a958ff85402e5	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ab2bfb86c1caa884497b8339f51705e6	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	31	0	0	0
2d6b32df2d6e603b8c70d24996f58fba	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9e987d7244485e6fd7491c08a7c03351	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
90a524ef6a849802f280e64a9b6d8320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	12	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7f04c6e26a0f7e218cabf9ddbd908123	158	0	0	0	0	0	0	16	178	0	0	0	0	0	0	0	0	22	0	0	0	144	55	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d33d84f90d2924040cf2eb66c7abe2fc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	253	0	0	0	3	0	9	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
427fbb98d599d2ccdb794a4804a68709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	16	0	0	0	0	0	0
c538917932c548f6e61f85d9af398212	34	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
